recon_date,n_members,n_entered,n_exited,turnover_ratio,entered,exited
2005-01-01,10,10,0,1.0,"[""AAPL"", ""ADBE"", ""AMAT"", ""AMD"", ""AMZN"", ""ARM"", ""ASML"", ""AVGO"", ""CRM"", ""GOOGL""]",[]
2005-04-01,10,0,0,0.0,[],[]
2005-07-01,10,4,4,0.571429,"[""INTC"", ""MSFT"", ""NVDA"", ""QCOM""]","[""ARM"", ""ASML"", ""AVGO"", ""CRM""]"
2005-10-01,10,0,0,0.0,[],[]
2006-01-01,10,0,0,0.0,[],[]
2006-04-01,10,0,0,0.0,[],[]
2006-07-01,10,0,0,0.0,[],[]
2006-10-01,10,0,0,0.0,[],[]
2007-01-01,10,0,0,0.0,[],[]
2007-04-01,10,0,0,0.0,[],[]
2007-07-01,10,0,0,0.0,[],[]
2007-10-01,10,0,0,0.0,[],[]
2008-01-01,10,0,0,0.0,[],[]
2008-04-01,10,0,0,0.0,[],[]
2008-07-01,10,0,0,0.0,[],[]
2008-10-01,10,0,0,0.0,[],[]
2009-01-01,10,1,1,0.181818,"[""CRM""]","[""AMD""]"
2009-04-01,10,0,0,0.0,[],[]
2009-07-01,10,0,0,0.0,[],[]
2009-10-01,10,0,0,0.0,[],[]
2010-01-01,10,1,1,0.181818,"[""AMD""]","[""CRM""]"
2010-04-01,10,1,1,0.181818,"[""MU""]","[""AMD""]"
2010-07-01,10,1,1,0.181818,"[""NFLX""]","[""NVDA""]"
2010-10-01,10,0,0,0.0,[],[]
2011-01-01,10,1,1,0.181818,"[""CRM""]","[""AMAT""]"
2011-04-01,10,1,1,0.181818,"[""NVDA""]","[""ADBE""]"
2011-07-01,10,0,0,0.0,[],[]
2011-10-01,10,0,0,0.0,[],[]
2012-01-01,10,0,0,0.0,[],[]
2012-04-01,10,0,0,0.0,[],[]
2012-07-01,10,0,0,0.0,[],[]
2012-10-01,10,1,1,0.181818,"[""META""]","[""NVDA""]"
2013-01-01,10,0,0,0.0,[],[]
2013-04-01,10,0,0,0.0,[],[]
2013-07-01,10,0,0,0.0,[],[]
2013-10-01,10,0,0,0.0,[],[]
2014-01-01,10,0,0,0.0,[],[]
2014-04-01,10,0,0,0.0,[],[]
2014-07-01,10,0,0,0.0,[],[]
2014-10-01,10,0,0,0.0,[],[]
2015-01-01,10,0,0,0.0,[],[]
2015-04-01,10,0,0,0.0,[],[]
2015-07-01,10,0,0,0.0,[],[]
2015-10-01,10,0,0,0.0,[],[]
2016-01-01,10,0,0,0.0,[],[]
2016-04-01,10,0,0,0.0,[],[]
2016-07-01,10,1,1,0.181818,"[""NVDA""]","[""CRM""]"
2016-10-01,10,0,0,0.0,[],[]
2017-01-01,10,0,0,0.0,[],[]
2017-04-01,10,1,1,0.181818,"[""AMD""]","[""QCOM""]"
2017-07-01,10,0,0,0.0,[],[]
2017-10-01,10,0,0,0.0,[],[]
2018-01-01,10,1,1,0.181818,"[""AVGO""]","[""AMD""]"
2018-04-01,10,0,0,0.0,[],[]
2018-07-01,10,1,1,0.181818,"[""AMD""]","[""AVGO""]"
2018-10-01,10,0,0,0.0,[],[]
2019-01-01,10,0,0,0.0,[],[]
2019-04-01,10,0,0,0.0,[],[]
2019-07-01,10,0,0,0.0,[],[]
2019-10-01,10,0,0,0.0,[],[]
2020-01-01,10,0,0,0.0,[],[]
2020-04-01,10,0,0,0.0,[],[]
2020-07-01,10,0,0,0.0,[],[]
2020-10-01,10,1,1,0.181818,"[""CRM""]","[""MU""]"
2021-01-01,10,0,0,0.0,[],[]
2021-04-01,10,1,1,0.181818,"[""PLTR""]","[""CRM""]"
2021-07-01,10,1,1,0.181818,"[""SHOP""]","[""INTC""]"
2021-10-01,10,0,0,0.0,[],[]
2022-01-01,10,1,1,0.181818,"[""ADBE""]","[""PLTR""]"
2022-04-01,10,1,1,0.181818,"[""MU""]","[""ADBE""]"
2022-07-01,10,1,1,0.181818,"[""CRM""]","[""MU""]"
2022-10-01,10,1,1,0.181818,"[""ADBE""]","[""SHOP""]"
2023-01-01,10,0,0,0.0,[],[]
2023-04-01,10,0,0,0.0,[],[]
2023-07-01,10,1,1,0.181818,"[""AVGO""]","[""CRM""]"
2023-10-01,10,0,0,0.0,[],[]
2024-01-01,10,0,0,0.0,[],[]
2024-04-01,10,1,1,0.181818,"[""SMCI""]","[""NFLX""]"
2024-07-01,10,1,1,0.181818,"[""MU""]","[""ADBE""]"
2024-10-01,10,0,0,0.0,[],[]
2025-01-01,10,1,1,0.181818,"[""PLTR""]","[""MU""]"
2025-04-01,10,0,0,0.0,[],[]
2025-07-01,10,1,1,0.181818,"[""NFLX""]","[""SMCI""]"
2025-10-01,10,0,0,0.0,[],[]
2026-01-01,10,0,0,0.0,[],[]
