vol_target_ann,weight_cap,Sharpe,CAGR%,MaxDD%
0.2,0.45,1.1684,21.9,-20.2
0.2,0.5,1.1609,21.74,-20.21
0.2,0.55,1.1512,21.52,-20.28
0.2,0.6,1.1421,21.31,-20.36
0.2,0.65,1.1397,21.24,-20.42
0.25,0.45,1.152,25.69,-24.35
0.25,0.5,1.1461,25.55,-24.36
0.25,0.55,1.1379,25.34,-24.43
0.25,0.6,1.1299,25.13,-24.51
0.25,0.65,1.1276,25.06,-24.58
0.3,0.45,1.114,27.11,-26.83
0.3,0.5,1.1063,26.97,-27.1
0.3,0.55,1.0972,26.75,-27.45
0.3,0.6,1.0888,26.53,-27.83
0.3,0.65,1.0866,26.49,-27.96
0.35,0.45,1.0878,27.2,-28.61
0.35,0.5,1.0794,27.06,-29.15
0.35,0.55,1.071,26.87,-29.55
0.35,0.6,1.063,26.67,-29.95
0.35,0.65,1.0611,26.63,-30.08
0.4,0.45,1.0835,27.37,-28.65
0.4,0.5,1.0763,27.26,-29.16
0.4,0.55,1.0676,27.07,-29.62
0.4,0.6,1.0591,26.85,-30.07
0.4,0.65,1.0569,26.81,-30.22
