feature,importance,signed_weight,fold,model
qqq_vol_63,0.7161672371153316,0.7161672371153316,1,logit
turb_scale,0.5008185006562624,0.5008185006562624,1,logit
qqq_vol_21,0.5006668981020623,-0.5006668981020623,1,logit
dispersion_21,0.3113053731200358,0.3113053731200358,1,logit
vol_scale,0.2685241628135085,0.2685241628135085,1,logit
qqq_dd,0.2671373798350729,0.2671373798350729,1,logit
turnover_21,0.22442085854175892,-0.22442085854175892,1,logit
exposure,0.22390200144222844,0.22390200144222844,1,logit
breadth_63dma,0.19096247658310808,-0.19096247658310808,1,logit
crisis_scale,0.182626805620112,-0.182626805620112,1,logit
breadth_pos21,0.17751209703752374,-0.17751209703752374,1,logit
qqq_ret_21,0.150363220847458,0.150363220847458,1,logit
qqq_ret_5,0.09949781861519005,0.09949781861519005,1,logit
qqq_z_21,0.09662749006031937,0.09662749006031937,1,logit
qqq_ret_63,0.08938453664533025,0.08938453664533025,1,logit
score_top_gap,0.05042902034164938,0.05042902034164938,1,logit
score_dispersion,0.03209829151252005,0.03209829151252005,1,logit
avg_corr_21,0.0,0.0,1,logit
score_top_gap,0.11684986834113537,,2,gb
turb_scale,0.1157115095900543,,2,gb
exposure,0.10050126381294615,,2,gb
qqq_ret_5,0.09142749987300663,,2,gb
dispersion_21,0.08135925546040416,,2,gb
score_dispersion,0.07380897802956018,,2,gb
turnover_21,0.06771632264285156,,2,gb
qqq_vol_21,0.06346783738428098,,2,gb
qqq_ret_63,0.06278992421836482,,2,gb
qqq_dd,0.0534913753572994,,2,gb
qqq_vol_63,0.053357593792202396,,2,gb
qqq_z_21,0.05067916834126195,,2,gb
qqq_ret_21,0.027143417268367546,,2,gb
breadth_pos21,0.017197187596336327,,2,gb
breadth_63dma,0.014850324802543722,,2,gb
vol_scale,0.009648473489384487,,2,gb
avg_corr_21,0.0,,2,gb
crisis_scale,0.0,,2,gb
turb_scale,0.4357430816935792,0.4357430816935792,3,logit
breadth_63dma,0.2742676014946727,-0.2742676014946727,3,logit
qqq_dd,0.2545441228330231,0.2545441228330231,3,logit
crisis_scale,0.2456785733945687,-0.2456785733945687,3,logit
qqq_vol_63,0.16607093745371296,0.16607093745371296,3,logit
dispersion_21,0.13539100012187452,0.13539100012187452,3,logit
qqq_ret_21,0.1352712751410919,0.1352712751410919,3,logit
qqq_ret_5,0.11100897215491974,0.11100897215491974,3,logit
qqq_ret_63,0.09220588553783687,0.09220588553783687,3,logit
vol_scale,0.060156803552344554,0.060156803552344554,3,logit
qqq_vol_21,0.043832442012114954,-0.043832442012114954,3,logit
turnover_21,0.042580341236007645,-0.042580341236007645,3,logit
score_top_gap,0.041426589119823165,0.041426589119823165,3,logit
qqq_z_21,0.02212490987010389,-0.02212490987010389,3,logit
breadth_pos21,0.020430993644051328,-0.020430993644051328,3,logit
exposure,0.016512682420394748,0.016512682420394748,3,logit
score_dispersion,0.0009352930571125531,0.0009352930571125531,3,logit
avg_corr_21,0.0,0.0,3,logit
turb_scale,0.1013047454820832,,4,gb
score_top_gap,0.09953125636680285,,4,gb
dispersion_21,0.09013924124892767,,4,gb
qqq_dd,0.08497911711328301,,4,gb
qqq_vol_21,0.08239735921126763,,4,gb
qqq_ret_63,0.07555547441941926,,4,gb
qqq_z_21,0.0746768688573715,,4,gb
qqq_ret_5,0.06985978325494005,,4,gb
qqq_vol_63,0.06402883212086613,,4,gb
turnover_21,0.053164575315466235,,4,gb
score_dispersion,0.051737821375389945,,4,gb
exposure,0.03889230295800095,,4,gb
breadth_pos21,0.03737207445935847,,4,gb
breadth_63dma,0.03085189930554632,,4,gb
qqq_ret_21,0.027226678275357036,,4,gb
vol_scale,0.016968601375323907,,4,gb
crisis_scale,0.0013133688605959824,,4,gb
avg_corr_21,0.0,,4,gb
exposure,0.13845188790974072,,5,gb
turb_scale,0.1322562312074813,,5,gb
score_top_gap,0.11323225374208151,,5,gb
dispersion_21,0.11152764385122418,,5,gb
qqq_ret_5,0.09450140364853495,,5,gb
qqq_vol_21,0.07581868977967002,,5,gb
qqq_dd,0.05613531941251909,,5,gb
qqq_z_21,0.051598477317637365,,5,gb
qqq_ret_63,0.043921435535028225,,5,gb
qqq_vol_63,0.04277068147503836,,5,gb
score_dispersion,0.035448647213663274,,5,gb
vol_scale,0.03259121750332637,,5,gb
turnover_21,0.024184923641047653,,5,gb
qqq_ret_21,0.019577740567227046,,5,gb
breadth_pos21,0.013438589435580912,,5,gb
avg_corr_21,0.007441774891737468,,5,gb
breadth_63dma,0.007103082868461476,,5,gb
crisis_scale,0.0,,5,gb
